No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,373,29019,534,29926,34469
2,Kabupaten Gowa,46,823,869,0,1,20,21,47,5251,64,5362,6251
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,51,2627,9,2687,3220
4,Kabupaten Sinjai,11,289,300,0,0,1,1,116,2311,4,2431,2732
5,Kabupaten Maros,15,334,349,0,0,8,8,9,2201,24,2234,2590
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,0,1402,11,1413,1981
7,Kota Palopo,9,183,192,0,0,1,1,15,1427,20,1462,1655
8,Kabupaten Bone,0,340,340,0,0,4,4,1,1295,11,1307,1651
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,9,1278,22,1309,1627
10,Kabupaten Pinrang,10,591,601,0,0,5,5,18,901,44,963,1565
11,Kota Parepare,27,250,277,0,0,0,0,5,1206,24,1235,1512
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,4,1229,30,1263,1504
13,Kabupaten Takalar,50,108,158,0,0,2,2,12,1207,14,1233,1392
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,3,922,12,937,1380
15,Kabupaten Soppeng,3,118,121,0,0,1,1,2,1055,17,1074,1196
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,2,941,8,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,10,869,7,886,1060
18,Kabupaten Barru,0,81,81,0,0,1,1,0,859,5,864,946
19,Kabupaten Wajo,4,92,96,0,0,3,3,9,789,17,815,914
20,Kabupaten Luwu,0,242,242,0,0,0,0,3,607,8,618,860
21,Kabupaten Tana Toraja,4,256,260,0,0,2,2,15,483,2,500,762
22,Kabupaten Enrekang,34,308,342,0,0,3,3,0,296,12,308,652
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,1,452,9,462,553
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,1,218,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
