No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,524,28657,532,29713,34256
2,Kabupaten Gowa,46,823,869,0,1,20,21,83,5191,64,5338,6227
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,43,2602,9,2654,3187
4,Kabupaten Maros,15,334,349,0,0,8,8,31,2164,24,2219,2575
5,Kabupaten Sinjai,11,289,300,0,0,1,1,32,2088,4,2124,2425
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,2,1400,11,1413,1981
7,Kabupaten Bone,0,340,340,0,0,4,4,5,1291,11,1307,1651
8,Kota Palopo,9,183,192,0,0,1,1,23,1413,20,1456,1649
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,8,1273,22,1303,1621
10,Kabupaten Pinrang,10,591,601,0,0,5,5,21,889,44,954,1556
11,Kota Parepare,27,250,277,0,0,0,0,1,1206,24,1231,1508
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,4,1228,30,1262,1503
13,Kabupaten Takalar,50,108,158,0,0,2,2,40,1177,13,1230,1389
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,12,913,12,937,1380
15,Kabupaten Soppeng,3,118,121,0,0,1,1,4,1054,17,1075,1197
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,16,927,8,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,9,862,7,878,1052
18,Kabupaten Barru,0,81,81,0,0,1,1,5,854,5,864,946
19,Kabupaten Wajo,4,92,96,0,0,3,3,11,785,17,813,912
20,Kabupaten Luwu,0,242,242,0,0,0,0,8,602,8,618,860
21,Kabupaten Tana Toraja,4,256,260,0,0,2,2,45,405,2,452,714
22,Kabupaten Enrekang,34,308,342,0,0,3,3,1,295,12,308,652
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,5,448,9,462,553
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,1,218,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
