No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,165,29641,539,30345,34888
2,Kabupaten Gowa,46,823,869,0,1,20,21,43,5324,64,5431,6320
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,5,2710,9,2724,3257
4,Kabupaten Sinjai,11,289,300,0,0,1,1,6,2669,14,2689,2990
5,Kabupaten Maros,15,334,349,0,0,8,8,5,2217,25,2247,2603
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,2,1408,11,1421,1989
7,Kota Palopo,9,183,192,0,0,1,1,7,1445,21,1473,1666
8,Kabupaten Bone,0,340,340,0,0,4,4,5,1296,11,1312,1656
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,1,1300,22,1323,1641
10,Kabupaten Pinrang,10,591,601,0,0,5,5,4,928,44,976,1578
11,Kota Parepare,27,250,277,0,0,0,0,1,1211,24,1236,1513
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,4,1235,30,1269,1510
13,Kabupaten Bulukumba,34,403,437,0,2,6,8,1,1002,12,1015,1458
14,Kabupaten Takalar,50,108,158,0,0,2,2,7,1227,16,1250,1409
15,Kabupaten Soppeng,3,118,121,0,0,1,1,5,1058,17,1080,1202
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,1,942,9,952,1125
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,1,879,7,887,1061
18,Kabupaten Tana Toraja,4,256,260,0,0,2,2,15,676,2,693,955
19,Kabupaten Barru,0,81,81,0,0,1,1,0,859,5,864,946
20,Kabupaten Wajo,4,92,96,0,0,3,3,0,798,19,817,916
21,Kabupaten Luwu,0,242,242,0,0,0,0,1,610,8,619,861
22,Kabupaten Enrekang,34,308,342,0,0,3,3,2,296,12,310,654
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,2,453,9,464,555
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,4,219,5,228,412
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
